OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
110,100957,1.35,0.21,1.66,2.62,8.9,2.62,0.17,1.2,0.27,5.88,1.71,1.47,50167.19356,157295673.7
111,100958,1.38,0.25,1.71,2.89,9.22,2.98,0.27,1.44,0.64,6,1.66,1.53,50165.6927,157286261.6
112,100959,1.48,0.29,1.66,2.91,8.72,3.19,0.17,2.02,0.75,6.18,2.07,1.48,50164.18057,157276779.1
113,100960,1.43,0.34,1.76,2.45,8.21,3.44,0.14,2.24,0.64,6.79,2.3,1.44,50162.65593,157267218.5
114,100961,1.51,0.32,1.79,2.33,8.54,4.21,0.15,2.88,0.62,7.55,2.23,1.46,50161.11908,157257581.5
115,100962,1.59,0.28,1.79,2.36,8.49,3.67,0.15,2.69,0.18,7.08,2.32,1.39,50159.57067,157247872.4
116,100963,1.51,0.29,1.83,2.28,8.75,4.07,0.38,2.92,0.28,6,2.34,1.67,50158.00968,157238084.7
117,100964,1.38,0.33,1.75,2.5,8.35,4,0.47,3.25,0.2,5.15,2.18,1.69,50156.43588,157228216.9
118,100965,1.33,0.29,1.68,2.76,7.69,4.45,0.53,2.71,0.19,5.56,2.1,1.82,50154.8508,157218278.8
119,100966,1.45,0.28,1.7,2.77,7.76,4.93,0.32,2.24,0.22,6.11,2.35,2.05,50153.25343,157208263.9
120,101373,1.09,0.27,1.87,2.76,5.85,1.61,0.07,2.01,0.49,5.22,1.36,1.5,50162.29546,157264963.5
121,101374,1.05,0.24,1.79,2.59,6.68,2.24,0.06,1.73,0.58,5.17,1.81,1.66,50160.90754,157256260.5
122,101375,1.07,0.27,1.71,2.68,7.03,1.69,0.09,1.5,0.64,5.53,1.97,1.53,50159.50747,157247481.6
123,101376,1.1,0.25,1.76,2.98,7.82,1.38,0.04,1.32,1.1,5.56,1.85,1.49,50158.09492,157238624.6
124,101377,1.08,0.27,1.76,2.42,8.85,1.3,0.04,1.12,1.4,5.78,1.91,2.01,50156.67088,157229695.8
125,101378,1.07,0.27,1.66,1.94,8.82,1.43,0.02,1.11,1.17,5.95,1.64,1.36,50155.23392,157220686.3
126,101379,1.22,0.25,1.7,1.9,8.1,2.07,0.02,1.21,0.59,7.12,1.55,1.2,50153.78458,157211599.5
127,101380,1.17,0.22,1.68,2.24,9.36,2.59,0.05,1.27,0.38,7.48,2,1.28,50152.32392,157202441.9
128,101381,1.3,0.21,1.57,2.18,9.15,2.27,0.09,1.27,0.2,6.3,1.9,1.21,50150.84981,157193200.3
129,101382,1.48,0.18,1.61,2.8,9.03,2.84,0.2,1.66,0.49,6.31,1.74,1.29,50149.36485,157183890.9
130,101383,1.37,0.21,1.58,3.26,8.98,3.61,0.24,1.9,0.57,6.49,1.74,1.46,50147.86725,157174502.6
131,101384,1.42,0.27,1.64,3.21,8.57,4.13,0.37,2.48,0.82,6.48,2.13,1.31,50146.35786,157165040.6
132,101385,1.36,0.33,1.71,2.83,8.24,3.72,0.28,2.96,0.74,6.93,2.3,1.43,50144.83552,157155497.8
133,101386,1.49,0.34,1.76,2.64,9.07,4.3,0.23,3.17,0.77,7.61,2.29,1.56,50143.30168,157145883.1
134,101387,1.53,0.28,1.84,2.86,8.88,4.14,0.36,3.23,0.32,7.29,2.35,1.73,50141.75532,157136190.3
135,101388,1.49,0.36,1.74,2.93,9.09,3.95,0.55,3.09,0.44,6.24,2.45,1.75,50140.19666,157126420.7
136,101389,1.37,0.35,1.63,2.89,8.47,3.85,0.63,3.61,0.31,5.54,2.14,1.97,50138.62642,157116578.8
137,101390,1.46,0.32,1.67,2.89,8.13,3.77,0.53,3.08,0.16,5.36,2.23,2.09,50137.04395,157106660.5
138,101391,1.48,0.32,1.74,2.9,8.83,3.94,0.42,2.41,0.15,5.27,2.35,2.06,50135.44894,157096664
139,101798,0.98,0.22,1.87,2.83,5.7,1.94,0.17,2.4,0.71,5.25,1.48,1.34,50144.46367,157153172.3
