Date,Discharge,baseflow,interpolation,baseflow
12/17/2015,302,302,302,302
12/18/2015,301,301,301,301
12/19/2015,302,302,302,302
12/20/2015,305,305,305,305
12/21/2015,308,308,308,308
12/22/2015,310,310,310,310
12/23/2015,305,305,305,305
12/24/2015,305,305,305,305
12/25/2015,310,310,310,310
12/26/2015,312,312,312,312
12/27/2015,325,,313.3333333,313.3333333
12/28/2015,346,,314.6666667,314.6666667
12/29/2015,316,316,316,316
12/30/2015,314,314,314,314
12/31/2015,313,313,313,313
